C1:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C3:1
C4:1
C9:1
D1:1
D2:1
J1:1
J8:1
JP1:1
R1:1
R2:1
R3:1
R4:1
R5:1
S1:1
U1:1
U2:1
U4:1
U5:1
U6:1
Y1:1
